index,adc,desired_current_thirds_ma,actual_current_thirds_ma
403,1397,646,456
404,1390,632,427
405,1374,600,422
406,1375,602,427
407,1369,590,587
408,1366,584,480
409,1362,576,447
410,1354,560,488
411,1350,552,540
412,1359,570,414
413,1346,544,440
414,1347,546,462
415,1329,510,392
416,1325,502,424
417,1319,490,525
418,1307,466,610
419,1305,462,382
420,1304,460,455
421,1302,456,505
422,1300,452,590
423,1305,462,418
424,1295,442,451
425,1273,398,390
426,1283,418,394
427,1266,384,421
428,1261,374,546
429,1254,360,417
430,1253,358,408
431,1252,356,479
432,1242,336,572
433,1251,354,415
434,1230,312,434
435,1223,298,480
436,1219,290,403
437,1217,286,408
438,1209,270,591
439,1214,280,412
440,1202,256,381
441,1197,246,487
442,1194,240,560
443,1189,230,427
444,1184,220,437
445,1176,204,468
446,1171,194,393
447,1172,196,411
448,1157,166,425
449,1146,144,361
450,1137,126,398
451,1135,122,402
452,1141,134,561
453,1121,94,377
454,1129,110,433
455,1122,96,494
456,1117,86,504
457,1112,76,404
458,1110,72,445
459,1108,68,484
460,1101,54,386
461,1109,70,414
462,1085,22,475
463,1092,36,287
464,1083,18,386
465,1077,6,543
466,1071,-6,195
467,1065,-18,341
468,1061,-26,455
469,1054,-40,358
470,1055,-38,370
471,1056,-36,358
472,1052,-44,427
473,1037,-74,239
474,1030,-88,374
475,1022,-104,254
476,1019,-110,374
477,1015,-118,170
478,1011,-126,474
479,1008,-132,-12
480,1008,-132,322
481,999,-150,244
482,993,-162,322
483,990,-168,109
484,992,-164,401
485,966,-216,19
486,973,-202,359
487,966,-216,0
488,943,-262,339
489,954,-240,-115
490,949,-250,460
491,951,-246,-377
492,937,-274,389
493,939,-270,-116
494,932,-284,379
495,928,-292,-282
496,927,-294,325
497,921,-306,-130
498,909,-330,333
499,930,-288,-269
500,905,-1200,447
501,898,-1200,-1999
502,895,-1200,32
503,887,-1200,-1427
504,897,-1200,-125
505,881,-1200,-1400
506,876,-1200,109
507,871,-1200,-1699
508,868,-1200,154
509,863,-1200,-1589
510,862,-1200,192
511,853,-1200,-1784
512,860,-1200,-658
513,834,-1200,34
514,844,-1200,-1128
515,843,-1200,431
516,830,-1200,-2419
517,839,-1200,-330
518,827,-1200,-777
519,812,-1200,4
520,806,-1200,-1158
521,795,-1200,365
522,795,-1200,-1654
523,792,-1200,196
524,791,-1200,-1421
525,791,-1200,-448
526,791,-1200,-332
527,785,-1200,-569
528,787,-1200,-213
529,783,-1200,-873
530,781,-1200,66
531,778,-1200,-1402
532,775,-1200,239
533,769,-1200,-1065
534,765,-1200,228
535,756,-1200,-1460
536,754,-1200,510
537,751,-1200,-2293
